item_id:token	real_id:token
1	29915
2	2217280918
3	3636723050
4	60181
5	379641613
6	40041
7	248339
8	243221
9	14781
10	723476024
11	267557
12	145736
13	65954
14	379642230
15	25840
16	280497
17	22585
18	6964461541
19	378772875
20	266529
21	514471755
22	4780498294
23	27226
24	3671415084
25	192240
26	22605
27	535861478
28	3641188801
29	3297
30	37855
31	1371754294
32	4027624215
33	846629637
34	27240
35	250026
36	171892
37	4058681588
38	286651
39	274486
40	275397
41	9031958663
42	62564
43	2452820820
44	286633
45	285693
46	1129209231
47	6964463758
48	29060
49	2603278873
50	595746727
51	6695779207
52	67648
53	299312
54	539509997
55	3250
56	15621
57	5715943282
58	623826388
59	295118
60	1566911860
61	14735
62	271441
63	243677
64	84469
65	287428
66	276537
67	623832647
68	28723
69	180496
70	2291
71	3319751495
72	4343450746
73	85577
74	11908
75	180183
76	2809
77	584964332
78	1013224538
79	9031920571
80	13489
81	4549178556
82	14335
83	11649
84	110198
85	5354
86	21576
87	1095303350
88	54244
89	549107109
90	932399147
91	301242
92	5166632262
93	565156819
94	298659
95	692555265
96	175477
97	36272
98	4785926865
99	286875
100	27111
101	2055569414
102	4474927730
103	248727
104	259758
105	181952
106	4261
107	1659144539
108	5266038420
109	614090151
110	6964605066
111	4917442412
112	1117785596
113	1829737591
114	1388190941
115	6354
116	164967473
117	5341853273
118	1765515392
119	5666649002
120	65424
121	5812
122	6485806040
123	279706
124	3871382696
125	20488
126	255230
127	21604
128	616991921
129	281934
130	5798
131	4748871626
132	5808
133	98087
134	6290951140
135	614073139
136	587066727
137	6196535980
138	572421629
139	6964432726
140	273420
141	5993696826
142	599691541
143	1277957195
144	5775
145	10919
146	1422147710
147	61421
148	610483525
149	248331
150	988423602
151	42881
152	30807
153	287754
154	1382428227
155	37977
156	266991
157	9031985439
158	6964392401
159	241637
160	39796
161	154696
162	240009
163	25142
164	32064
165	1565
166	155872
167	20657
168	237700
169	107405000
170	4379536292
171	180448
172	169119
173	425574571
174	102820
175	14365
176	3224
177	238079
178	172303
179	192159
180	23441
181	5847158141
182	1054989072
183	30690
184	69790
185	1367369652
186	282357
187	4141696640
188	5270388963
189	77592
190	573216098
191	6964470593
192	273326
193	26946
194	3422
195	240082
196	905405686
197	5993643095
198	246377
199	22829
200	2652953122
201	167376
202	984511820
203	430109508
204	74702
205	22766
206	166728164
207	5924310659
208	297132
209	241808
210	74707
211	195246
212	3412
213	4486873654
214	606565167
215	22781
216	1359800743
217	84408
218	15656
219	93766
220	619231005
221	423054308
222	1126068419
223	6964386552
224	949910633
225	300145
226	4174830346
227	182201
228	25280
229	3554203601
230	195125
231	219126
232	283284
233	745597606
234	400458776
235	4917351399
236	4787602952
237	288329
238	2932
239	17446
240	6964576194
241	65882
242	267794
243	610768169
244	40033
245	1117921196
246	2433263667
247	390588881
248	1029
249	19735
250	266907
251	252920
252	6964355876
253	102238
254	602804672
255	85381
256	1525093386
257	6964389719
258	585050534
259	1000
260	5964930930
261	613338059
262	5295505712
263	298274
264	84480
265	5504541424
266	699596682
267	282929
268	51436
269	259551
270	30746
271	1372047272
272	4190917045
273	65
274	23512
275	96136
276	47304
277	6964372893
278	546975428
279	295169
280	14477
281	250891
282	84498
283	53793
284	1038282965
285	272383
286	3735926383
287	236636
288	616980562
289	15272
290	282928
291	3158202881
292	193792
293	287478
294	555692794
295	2511022392
296	73760
297	72520
298	6964413082
299	125822
300	1212347958
301	5081709038
302	16456
303	265281
304	93434
305	175765
306	4340239883
307	3903
308	280996
309	3961349733
310	6964419948
311	4171691514
312	84515
313	118081
314	294406
315	20826
316	118076
317	5920177625
318	84556
319	672210078
320	3918
321	727339845
322	1268794012
323	110225
324	667788361
325	110177
326	169434
327	281033
328	72608
329	5876341738
330	558057537
331	23531
332	3342994197
333	50204
334	292504
335	59721
336	672213484
337	4172036782
338	704856507
339	19326
340	2694788922
341	5450556751
342	47255
343	85426
344	24046
345	20530
346	87662
347	167310752
348	5763153469
349	5987
350	3961113758
351	257422
352	259887
